interval_start_time,avg_bird_density
2013-04-09 04:20:00+00,61.67814
2013-04-09 04:40:00+00,41.21790
2013-04-09 05:00:00+00,56.16997
2013-04-09 05:20:00+00,50.33377
2013-04-09 05:40:00+00,40.80528
2013-04-09 06:00:00+00,30.47925
2013-04-09 06:20:00+00,32.31575
2013-04-09 06:40:00+00,29.53844
2013-04-09 07:00:00+00,23.32208
2013-04-09 07:20:00+00,21.73526
2013-04-09 07:40:00+00,17.59395
2013-04-09 08:00:00+00,0
2013-04-09 08:20:00+00,0
2013-04-09 08:40:00+00,0
2013-04-09 09:00:00+00,0
2013-04-09 09:20:00+00,0
2013-04-09 09:40:00+00,0
2013-04-09 10:00:00+00,0
2013-04-09 10:20:00+00,0
2013-04-09 10:40:00+00,0
2013-04-09 11:00:00+00,0
2013-04-09 11:20:00+00,0
2013-04-09 11:40:00+00,0
2013-04-09 12:00:00+00,0
2013-04-09 12:20:00+00,0
2013-04-09 12:40:00+00,0
2013-04-09 13:00:00+00,0
2013-04-09 13:20:00+00,0
2013-04-09 13:40:00+00,0
2013-04-09 14:00:00+00,20.38719
2013-04-09 14:20:00+00,18.59317
2013-04-09 14:40:00+00,17.92222
2013-04-09 15:00:00+00,0
2013-04-09 15:20:00+00,0
2013-04-09 15:40:00+00,0
2013-04-09 16:00:00+00,0
2013-04-09 16:20:00+00,0
2013-04-09 16:40:00+00,0
2013-04-09 17:00:00+00,0
2013-04-09 17:20:00+00,0
2013-04-09 17:40:00+00,0
2013-04-09 18:00:00+00,0
2013-04-09 18:20:00+00,0
2013-04-09 18:40:00+00,0
2013-04-09 19:00:00+00,67.32617
2013-04-09 19:20:00+00,104.62308
2013-04-09 19:40:00+00,119.53349
2013-04-09 20:00:00+00,134.25239
2013-04-09 20:20:00+00,165.33833
2013-04-09 20:40:00+00,179.09211
2013-04-09 21:00:00+00,190.93820
2013-04-09 21:20:00+00,204.15743
2013-04-09 21:40:00+00,213.98662
2013-04-09 22:00:00+00,226.39080
2013-04-09 22:20:00+00,208.39539
2013-04-09 22:40:00+00,194.07684
2013-04-09 23:00:00+00,187.72073
2013-04-09 23:20:00+00,173.17726
2013-04-09 23:40:00+00,161.15591
2013-04-10 00:00:00+00,165.95402
2013-04-10 00:20:00+00,156.85911
2013-04-10 00:40:00+00,128.35338
2013-04-10 01:00:00+00,113.10611
2013-04-10 01:20:00+00,112.48541
2013-04-10 01:40:00+00,102.99253
2013-04-10 02:00:00+00,101.47429
2013-04-10 02:20:00+00,94.74567
2013-04-10 02:40:00+00,0
2013-04-10 03:00:00+00,0
2013-04-10 03:20:00+00,0
2013-04-10 03:40:00+00,37.41210
2013-04-10 04:00:00+00,29.37457
2013-04-10 04:20:00+00,0
2013-04-10 04:40:00+00,0
2013-04-10 05:00:00+00,0
2013-04-10 05:20:00+00,0
2013-04-10 05:40:00+00,21.48619
2013-04-10 06:00:00+00,18.87738
2013-04-10 06:20:00+00,0
2013-04-10 06:40:00+00,0
2013-04-10 07:00:00+00,0
2013-04-10 07:20:00+00,0
2013-04-10 07:40:00+00,0
2013-04-10 08:00:00+00,0
2013-04-10 08:20:00+00,0
2013-04-10 08:40:00+00,0
2013-04-10 09:00:00+00,0
2013-04-10 09:20:00+00,0
2013-04-10 09:40:00+00,0
2013-04-10 10:00:00+00,0
2013-04-10 10:20:00+00,0
2013-04-10 10:40:00+00,0
2013-04-10 11:00:00+00,21.04227
2013-04-10 11:20:00+00,21.82741
2013-04-10 11:40:00+00,21.82730
2013-04-10 12:00:00+00,22.70220
2013-04-10 12:20:00+00,20.32013
2013-04-10 12:40:00+00,22.44659
2013-04-10 13:00:00+00,20.88415
2013-04-10 13:20:00+00,20.68225
2013-04-10 13:40:00+00,21.12121
2013-04-10 14:00:00+00,21.21817
2013-04-10 14:20:00+00,20.56228
2013-04-10 14:40:00+00,21.79949
2013-04-10 15:00:00+00,22.55399
2013-04-10 15:20:00+00,21.01845
2013-04-10 15:40:00+00,22.10237
2013-04-10 16:00:00+00,22.90901
2013-04-10 16:20:00+00,23.99606
2013-04-10 16:40:00+00,24.34264
2013-04-10 17:00:00+00,23.61314
2013-04-10 17:20:00+00,26.48273
2013-04-10 17:40:00+00,29.11447
2013-04-10 18:00:00+00,34.73183
2013-04-10 18:20:00+00,62.73373
2013-04-10 18:40:00+00,61.71213
2013-04-10 19:00:00+00,110.20230
2013-04-10 19:20:00+00,190.47740
2013-04-10 19:40:00+00,165.89694
2013-04-10 20:00:00+00,104.90061
2013-04-10 20:20:00+00,42.53717
2013-04-10 20:40:00+00,31.51200
2013-04-10 21:00:00+00,29.31241
2013-04-10 21:20:00+00,28.19482
2013-04-10 21:40:00+00,29.86508
2013-04-10 22:00:00+00,30.23744
2013-04-10 22:20:00+00,26.28971
2013-04-10 22:40:00+00,25.99324
2013-04-10 23:00:00+00,28.97307
2013-04-10 23:20:00+00,14.31432
2013-04-10 23:40:00+00,11.33301
2013-04-11 00:00:00+00,11.13066
2013-04-11 00:20:00+00,0
2013-04-11 00:40:00+00,0
2013-04-11 01:00:00+00,0
2013-04-11 01:20:00+00,0
2013-04-11 01:40:00+00,0
2013-04-11 02:00:00+00,0
2013-04-11 02:20:00+00,0
2013-04-11 02:40:00+00,0
2013-04-11 03:00:00+00,0
2013-04-11 03:20:00+00,0
2013-04-11 03:40:00+00,0
2013-04-11 04:00:00+00,0
2013-04-11 04:20:00+00,0
2013-04-11 04:40:00+00,33.29505
2013-04-11 05:00:00+00,96.91302
2013-04-11 05:20:00+00,144.78372
2013-04-11 05:40:00+00,108.51542
2013-04-11 06:00:00+00,83.66854
2013-04-11 06:20:00+00,74.70658
2013-04-11 06:40:00+00,48.22446
2013-04-11 07:00:00+00,32.15383
2013-04-11 07:20:00+00,35.68619
2013-04-11 07:40:00+00,33.38064
2013-04-11 08:00:00+00,39.80448
2013-04-11 08:20:00+00,48.53243
2013-04-11 08:40:00+00,77.73616
2013-04-11 09:00:00+00,61.02081
2013-04-11 09:20:00+00,46.46450
2013-04-11 09:40:00+00,39.76745
2013-04-11 10:00:00+00,70.04878
2013-04-11 10:20:00+00,38.42787
2013-04-11 10:40:00+00,56.85641
2013-04-11 11:00:00+00,38.10638
2013-04-11 11:20:00+00,28.82029
2013-04-11 11:40:00+00,25.20857
2013-04-11 12:00:00+00,18.77926
2013-04-11 12:20:00+00,19.26262
2013-04-11 12:40:00+00,20.21417
2013-04-11 13:00:00+00,18.58655
2013-04-11 13:20:00+00,22.31948
2013-04-11 13:40:00+00,25.28838
2013-04-11 14:00:00+00,19.29766
2013-04-11 14:20:00+00,18.21190
2013-04-11 14:40:00+00,14.62240
2013-04-11 15:00:00+00,13.17856
2013-04-11 15:20:00+00,14.01783
2013-04-11 15:40:00+00,14.16181
2013-04-11 16:00:00+00,10.14700
2013-04-11 16:20:00+00,0
2013-04-11 16:40:00+00,0
2013-04-11 17:00:00+00,0
2013-04-11 17:20:00+00,0
2013-04-11 17:40:00+00,0
2013-04-11 18:00:00+00,0
2013-04-11 18:20:00+00,0
2013-04-11 18:40:00+00,32.17706
2013-04-11 19:00:00+00,88.92202
2013-04-11 19:20:00+00,195.63165
2013-04-11 19:40:00+00,155.80922
2013-04-11 20:00:00+00,166.20787
2013-04-11 20:20:00+00,171.08125
2013-04-11 20:40:00+00,197.82702
2013-04-11 21:00:00+00,216.95264
2013-04-11 21:20:00+00,228.18538
2013-04-11 21:40:00+00,239.66750
2013-04-11 22:00:00+00,247.30056
2013-04-11 22:20:00+00,215.86690
2013-04-11 22:40:00+00,213.85239
2013-04-11 23:00:00+00,225.93292
2013-04-11 23:20:00+00,211.63515
2013-04-11 23:40:00+00,237.37089
