radar_id,interval_start_time,altitude_band,avg_u_speed,avg_v_speed,avg_bird_density
sease,2016-10-03 22:00:00+00,2,-16.4342698489918,-17.0940494537354,0.683248739130795
sease,2016-10-03 23:00:00+00,1,-15.147795766592001,-12.1664923727512,3.53704842925072
sease,2016-10-03 23:00:00+00,2,-16.5491193771362,-16.3659821828206,0.600268262252212
sehud,2016-10-03 20:00:00+00,1,-10.6631766955058,-8.89267293612162,3.85017971197764
sehud,2016-10-03 20:00:00+00,2,-8.05707150697708,-11.9289402484894,0.996085821464658
sehud,2016-10-03 21:00:00+00,1,-17.0351316134135,-5.57270753383636,7.6168054540952
sehud,2016-10-03 21:00:00+00,2,-10.2719564676285,-11.8941006183624,0.94345326051116
sehud,2016-10-03 22:00:00+00,1,-18.0767943064372,-5.95613408088684,7.23690597216288
sehud,2016-10-03 22:00:00+00,2,-11.1432679414749,-14.4219836950302,0.943059315159917
sehud,2016-10-03 23:00:00+00,1,-18.5103610356649,-5.26112564404805,7.12851432959239
sehud,2016-10-03 23:00:00+00,2,-12.7929536034079,-12.2155581923092,0.859411985706538
sekir,2016-10-03 20:00:00+00,1,-7.03605684638023,-9.77176082134247,0.463883759453893
sekir,2016-10-03 20:00:00+00,2,-13.1916972160339,-9.50519607067108,0.364037801139057
sekir,2016-10-03 21:00:00+00,1,-8.67937934398651,-7.45908862352371,0.614675786346197
sekir,2016-10-03 21:00:00+00,2,-12.1641243100166,-7.29828944802284,0.175377651397139
sekir,2016-10-03 22:00:00+00,1,-7.96802780032158,-6.12519919872284,0.809572404250503
sekir,2016-10-03 22:00:00+00,2,-12.3725782632828,-6.40850031375885,0.0298310427926481
sekir,2016-10-03 23:00:00+00,1,-8.06362266540527,-3.87038640975952,0.408457040786743
sekir,2016-10-03 23:00:00+00,2,-12.0541715621948,-5.46488690376282,0.00354054002091289
sekkr,2016-10-03 20:00:00+00,1,-7.21545916795731,-14.0093368291855,3.1833226159215
sekkr,2016-10-03 20:00:00+00,2,-9.88027684688568,-14.286038351059,0.613268995285034
sekkr,2016-10-03 21:00:00+00,1,-7.04018816538155,-12.1765159666538,2.16907820850611
sekkr,2016-10-03 21:00:00+00,2,-12.3673604011536,-13.8386827468872,0.319949528947473
sekkr,2016-10-03 22:00:00+00,1,-8.02391214668751,-9.71405607461929,1.97052670270205
sekkr,2016-10-03 22:00:00+00,2,-18.1212959289551,-15.1689499804848,0.571369731239974
sekkr,2016-10-03 23:00:00+00,1,-9.82217747811228,-8.81857034564018,1.70730179920793
sekkr,2016-10-03 23:00:00+00,2,-21.2173562367757,-15.7258284250895,0.461328493710607
selek,2016-10-03 20:00:00+00,1,-6.75675281882286,-9.12598696351051,3.09333552916845
selek,2016-10-03 20:00:00+00,2,-8.15434792306688,-12.5821990436978,0.234361158125103
selek,2016-10-03 21:00:00+00,1,-11.8286170164744,-10.7552023463779,0.813977504769961
selek,2016-10-03 21:00:00+00,2,-11.5739869117737,-10.281409072876,0.0569279609364457
selek,2016-10-03 22:00:00+00,1,-13.9086096684138,-6.21366464098295,4.31598341464996
selek,2016-10-03 22:00:00+00,2,-13.2480521202087,-6.56351238489151,0.82215335033834
selek,2016-10-03 23:00:00+00,1,-16.2373244762421,-5.61616039276123,6.45157790184021
selek,2016-10-03 23:00:00+00,2,-13.2791826426983,-5.92430656403303,0.717878177389503
selul,2016-10-03 20:00:00+00,1,-16.1628664135933,-8.41567900776863,6.789660602808
selul,2016-10-03 20:00:00+00,2,-16.4937853562204,-11.0506701720388,1.86375675052404
selul,2016-10-03 21:00:00+00,1,-17.0788733363152,-7.06022328138351,6.73241677880287
selul,2016-10-03 21:00:00+00,2,-16.3273383549282,-8.42720099857875,1.07065165266395
selul,2016-10-03 22:00:00+00,1,-15.7119203805923,-6.44205769896507,5.19577190279961
selul,2016-10-03 22:00:00+00,2,-14.846779687064,-7.33249262401036,0.416902848705649
selul,2016-10-03 23:00:00+00,1,-14.7341579198837,-5.67080789804459,3.62137958034873
selul,2016-10-03 23:00:00+00,2,-14.1971273422241,-3.53220084309578,0.209768390655518
seosu,2016-10-03 20:00:00+00,1,15.4872726599375,8.16057487328847,13.9415508906047
seosu,2016-10-03 20:00:00+00,2,12.7498134613037,7.5997504234314,2.75782655179501
seosu,2016-10-03 21:00:00+00,1,15.5410302480062,6.66521767775218,10.6176077922185
seosu,2016-10-03 21:00:00+00,2,11.1527667045593,7.08843755722046,0.836584478616714
