radar_id,interval_start_time,altitude_band,avg_u_speed,avg_v_speed,avg_bird_density,vertical_integrated_density,number_of_measurements
6234,2013-04-05 05:20:00+00,2,0,0,0.01797,0.04313,48
6260,2013-04-05 05:20:00+00,1,-1.53269,-0.09637,0.27535,0.38549,28
6260,2013-04-05 05:20:00+00,2,0,0,0.00000,0.00000,48
6410,2013-04-05 05:20:00+00,1,-3.75597,-1.43196,1.41253,1.97755,28
6410,2013-04-05 05:20:00+00,2,-5.86206,1.95807,0.09378,0.22506,48
6451,2013-04-05 05:20:00+00,1,0.29240,-3.04812,0.86339,1.20874,4
6451,2013-04-05 05:20:00+00,2,0,0,0.00000,0.00000,20
6477,2013-04-05 05:20:00+00,1,0,0,0.00000,0.00000,7
6477,2013-04-05 05:20:00+00,2,0,0,0.00000,0.00000,8
6234,2013-04-05 05:40:00+00,1,-0.40276,-0.24641,0.46146,0.64604,28
6234,2013-04-05 05:40:00+00,2,0,0,0.00923,0.02215,48
6260,2013-04-05 05:40:00+00,1,-1.07999,-0.58601,0.27163,0.38029,28
6260,2013-04-05 05:40:00+00,2,0,0,0.00000,0.00000,47
6410,2013-04-05 05:40:00+00,1,-3.27674,-1.37461,1.41524,1.98133,28
6410,2013-04-05 05:40:00+00,2,-5.18468,2.26667,0.11415,0.27397,48
6451,2013-04-05 05:40:00+00,1,0,0,0.38372,0.53721,4
6451,2013-04-05 05:40:00+00,2,0,0,0.00000,0.00000,16
6477,2013-04-05 05:40:00+00,1,0,0,0.00000,0.00000,7
6477,2013-04-05 05:40:00+00,2,0,0,0.00000,0.00000,9
6234,2013-04-05 06:00:00+00,1,-0.28198,-0.49624,0.30022,0.42031,28
6234,2013-04-05 06:00:00+00,2,0,0,0.00000,0.00000,48
6260,2013-04-05 06:00:00+00,1,-1.11383,-0.09913,0.33163,0.46428,28
6260,2013-04-05 06:00:00+00,2,0,0,0.00000,0.00000,47
6410,2013-04-05 06:00:00+00,1,-1.23539,-1.15108,1.13188,1.58463,28
6410,2013-04-05 06:00:00+00,2,-4.46767,2.28044,0.09623,0.23095,48
6451,2013-04-05 06:00:00+00,1,0,0,0.22967,0.32154,4
6477,2013-04-05 06:00:00+00,1,0,0,0.00000,0.00000,14
6477,2013-04-05 06:00:00+00,2,0,0,0.00000,0.00000,16
6234,2013-04-05 06:20:00+00,1,-0.07584,-0.39331,0.40073,0.56103,28
6234,2013-04-05 06:20:00+00,2,0,0,0.00411,0.00985,48
6260,2013-04-05 06:20:00+00,1,-0.57116,0.00797,0.38037,0.53251,28
6260,2013-04-05 06:20:00+00,2,0,0,0.00000,0.00000,48
6410,2013-04-05 06:20:00+00,1,0.45485,-0.96757,0.37431,0.52404,28
6410,2013-04-05 06:20:00+00,2,0,0,0.04198,0.10076,48
6451,2013-04-05 06:20:00+00,1,0,0,0.06713,0.09398,3
6451,2013-04-05 06:20:00+00,2,0,0,0.00000,0.00000,1
6477,2013-04-05 06:20:00+00,1,0,0,0.00000,0.00000,7
6477,2013-04-05 06:20:00+00,2,0,0,0.00000,0.00000,9
6234,2013-04-05 06:40:00+00,1,-0.09431,-0.52604,0.33576,0.47006,28
6234,2013-04-05 06:40:00+00,2,0,0,0.00629,0.01510,48
6260,2013-04-05 06:40:00+00,1,-0.64485,-0.09246,0.27704,0.38786,28
6260,2013-04-05 06:40:00+00,2,0,0,0.00000,0.00000,48
6410,2013-04-05 06:40:00+00,1,0.20098,-0.08015,0.20889,0.29244,28
6410,2013-04-05 06:40:00+00,2,0,0,0.01557,0.03737,48
6451,2013-04-05 06:40:00+00,1,0,0,0.00000,0.00000,3
6477,2013-04-05 06:40:00+00,1,0,0,0.00000,0.00000,7
6477,2013-04-05 06:40:00+00,2,0,0,0.00000,0.00000,9
6234,2013-04-05 07:00:00+00,1,-0.63844,-0.72777,0.40291,0.56407,28
6234,2013-04-05 07:00:00+00,2,0,0,0.00535,0.01284,48
6260,2013-04-05 07:00:00+00,1,-0.92277,0.61160,0.23475,0.32865,28
6260,2013-04-05 07:00:00+00,2,0,0,0.00000,0.00000,48
6410,2013-04-05 07:00:00+00,1,0.21514,-0.19658,0.23937,0.33511,28
6410,2013-04-05 07:00:00+00,2,0,0,0.01809,0.04343,48
6451,2013-04-05 07:00:00+00,1,0,0,0.04042,0.05659,11
6477,2013-04-05 07:00:00+00,1,0,0,0.00000,0.00000,14
6477,2013-04-05 07:00:00+00,2,0,0,0.00000,0.00000,17
6234,2013-04-05 07:20:00+00,1,-1.36366,-0.95504,0.44151,0.61812,28
6234,2013-04-05 07:20:00+00,2,0,0,0.00601,0.01443,48
6260,2013-04-05 07:20:00+00,1,-1.15116,0.74040,0.35437,0.49612,28
6260,2013-04-05 07:20:00+00,2,0,0,0.00000,0.00000,48
6410,2013-04-05 07:20:00+00,1,-0.00807,-0.05359,0.24902,0.34862,28
6410,2013-04-05 07:20:00+00,2,0,0,0.01802,0.04325,48
6451,2013-04-05 07:20:00+00,1,0,0,0.06945,0.09723,6
6477,2013-04-05 07:20:00+00,1,0,0,0.00000,0.00000,7
6477,2013-04-05 07:20:00+00,2,0,0,0.00000,0.00000,9
6234,2013-04-05 07:40:00+00,1,-1.48022,-0.71296,0.52957,0.74139,28
6234,2013-04-05 07:40:00+00,2,0,0,0.00000,0.00000,48
6260,2013-04-05 07:40:00+00,1,-1.44419,0.93688,0.41399,0.57959,28
6260,2013-04-05 07:40:00+00,2,0,0,0.00000,0.00000,48
6410,2013-04-05 07:40:00+00,1,0.09372,-0.10484,0.32461,0.45445,28
6410,2013-04-05 07:40:00+00,2,0,0,0.00710,0.01704,48
6451,2013-04-05 07:40:00+00,1,0,0,0.05909,0.08273,13
6451,2013-04-05 07:40:00+00,2,0,0,0.00000,0.00000,8
6477,2013-04-05 07:40:00+00,1,0,0,0.00000,0.00000,7
6477,2013-04-05 07:40:00+00,2,0,0,0.00000,0.00000,9
6234,2013-04-05 08:00:00+00,1,-1.37182,-0.92519,0.58780,0.82293,28
6234,2013-04-05 08:00:00+00,2,0,0,0.00000,0.00000,48
6260,2013-04-05 08:00:00+00,1,-2.85693,0.23956,0.48301,0.67621,28
6260,2013-04-05 08:00:00+00,2,0,0,0.00000,0.00000,47
6410,2013-04-05 08:00:00+00,1,-0.55127,-0.44949,0.39936,0.55911,28
6410,2013-04-05 08:00:00+00,2,0,0,0.00000,0.00000,48
6451,2013-04-05 08:00:00+00,1,0,0,0.18125,0.25375,5
6451,2013-04-05 08:00:00+00,2,0,0,0.00000,0.00000,25
6477,2013-04-05 08:00:00+00,1,0,0,0.00000,0.00000,14
6477,2013-04-05 08:00:00+00,2,0,0,0.00000,0.00000,19
6234,2013-04-05 08:20:00+00,1,-1.86832,-1.67452,0.77219,1.08106,28
6234,2013-04-05 08:20:00+00,2,0,0,0.00000,0.00000,48
6260,2013-04-05 08:20:00+00,1,-2.30254,0.53991,0.57841,0.80977,28
6260,2013-04-05 08:20:00+00,2,0,0,0.00000,0.00000,47
6410,2013-04-05 08:20:00+00,1,-0.86714,-0.43221,0.34750,0.48650,28
6410,2013-04-05 08:20:00+00,2,0,0,0.00000,0.00000,48
6451,2013-04-05 08:20:00+00,1,0,0,0.31879,0.44630,4
6451,2013-04-05 08:20:00+00,2,0,0,0.00000,0.00000,35
6477,2013-04-05 08:20:00+00,1,0,0,0.00000,0.00000,7
6477,2013-04-05 08:20:00+00,2,0,0,0.03931,0.09435,8
6234,2013-04-05 08:40:00+00,1,-1.13278,-1.42973,0.99792,1.39709,28
6234,2013-04-05 08:40:00+00,2,0,0,0.00000,0.00000,48
6260,2013-04-05 08:40:00+00,1,-1.61498,0.26607,0.60670,0.84938,28
6260,2013-04-05 08:40:00+00,2,0,0,0.00000,0.00000,44
6410,2013-04-05 08:40:00+00,1,-0.93893,-0.49125,0.71711,1.00396,28
6410,2013-04-05 08:40:00+00,2,-4.91460,0.25548,0.04379,0.10509,48
6451,2013-04-05 08:40:00+00,1,0,0,0.11868,0.16615,8
6451,2013-04-05 08:40:00+00,2,0,0,0.00000,0.00000,31
6477,2013-04-05 08:40:00+00,1,0,0,0.00000,0.00000,7
6477,2013-04-05 08:40:00+00,2,0,0,0.00000,0.00000,9
6234,2013-04-05 09:00:00+00,1,-0.64716,-0.83127,1.30465,1.82651,28
6234,2013-04-05 09:00:00+00,2,0,0,0.00000,0.00000,48
6260,2013-04-05 09:00:00+00,1,-0.44702,-0.84968,0.75353,1.05494,28
6260,2013-04-05 09:00:00+00,2,0,0,0.00000,0.00000,43
6410,2013-04-05 09:00:00+00,1,-0.34366,-0.01301,0.36591,0.51227,28
6410,2013-04-05 09:00:00+00,2,0,0,0.03287,0.07889,48
6451,2013-04-05 09:00:00+00,1,0,0,0.14887,0.20842,9
6451,2013-04-05 09:00:00+00,2,0,0,0.00000,0.00000,22
